"","OTU","S1","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S2","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S3","S30","S31","S32","S33","S34","S35","S4","S5","S6","S7","S8","S9","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"16S_467","16S_467",0,0,0,0,0,0,0,0,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nodularia PCC-9350",NA
"16S_470","16S_470",0,35,0,0,59,20,142,94,114,0,27,95,0,59,0,0,113,0,38,45,96,107,36,115,28,35,22,129,56,95,93,148,127,25,46,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"16S_474","16S_474",0,49,44,0,0,76,0,92,0,25,30,0,52,0,0,0,0,0,46,76,31,73,0,0,67,0,44,31,49,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Motiliproteus",NA
"16S_475","16S_475",59,76,41,54,76,75,47,61,50,58,76,80,39,72,45,25,61,66,42,61,63,55,86,54,42,69,69,51,58,57,54,64,33,60,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_476","16S_476",0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",NA
"16S_477","16S_477",0,0,0,0,0,59,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",NA
"16S_478","16S_478",119,145,125,0,40,0,82,132,0,94,99,92,0,46,0,80,146,0,0,113,0,93,52,0,0,30,75,0,58,0,39,111,74,67,58,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_479","16S_479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,30,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,26,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_481","16S_481",44,50,0,61,109,57,59,48,45,51,66,60,27,81,24,66,88,41,63,44,51,62,80,69,38,48,53,45,50,57,60,56,42,71,75,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
"16S_484","16S_484",0,51,32,0,0,0,0,0,0,63,57,0,35,0,0,93,0,38,22,0,29,0,0,0,30,50,0,41,44,0,0,0,40,0,74,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
