Family,Relative,Microcosms,Sample
Arcobacteraceae,32.07822487,50D_50C,S54
Crocinitomicaceae,0.177129016,50D_50C,S54
NS11-12 marine group,0,50D_50C,S54
Flavobacteriaceae,0.436953808,50D_50C,S54
JGI 0000069-P22 order,10.10115561,50D_50C,S54
Other,2.418718056,50D_50C,S54
Mycobacteriaceae,0.071491832,50D_50C,S55
Sporichthyaceae,0.320646201,50D_50C,S55
Caulobacteraceae,0.070158029,50D_50C,S55
Rhodobacteraceae,2.039918051,50D_50C,S55
SAR11_Clade III,0.271295496,50D_50C,S55
Bacteriovoracaceae,2.738830735,50D_50C,S55
Moraxellaceae,0.064822818,50D_50C,S55
Methylophagaceae,6.339831621,50D_50C,S55
Pseudomonadaceae,0.566599443,50D_50C,S55
Nitrincolaceae,8.246636149,50D_50C,S55
Porticoccaceae,0.043481972,50D_50C,S55
Saccharospirillaceae,0.373464793,50D_50C,S55
Colwelliaceae,1.077979449,50D_50C,S55
Burkholderiaceae,5.99117556,50D_50C,S55
Arcobacteraceae,66.30360554,50D_50C,S55
Crocinitomicaceae,0.059487606,50D_50C,S55
NS11-12 marine group,0.012004225,50D_50C,S55
Flavobacteriaceae,1.343939733,50D_50C,S55
JGI 0000069-P22 order,3.119498063,50D_50C,S55
Other,0.945132687,50D_50C,S55
Mycobacteriaceae,0.094433241,20D_80C,S56
Sporichthyaceae,0.091232114,20D_80C,S56
Caulobacteraceae,0.029610423,20D_80C,S56
Rhodobacteraceae,1.081447336,20D_80C,S56
SAR11_Clade III,0.239550989,20D_80C,S56
Bacteriovoracaceae,0.399607328,20D_80C,S56
Moraxellaceae,0.101902536,20D_80C,S56
Methylophagaceae,0.576736345,20D_80C,S56
Pseudomonadaceae,0.301972961,20D_80C,S56
Nitrincolaceae,1.708067907,20D_80C,S56
Porticoccaceae,0,20D_80C,S56
Saccharospirillaceae,0.028009859,20D_80C,S56
Colwelliaceae,0.363327891,20D_80C,S56
Burkholderiaceae,2.181567912,20D_80C,S56
Arcobacteraceae,89.05721481,20D_80C,S56
Crocinitomicaceae,0.098434649,20D_80C,S56
NS11-12 marine group,0,20D_80C,S56
Flavobacteriaceae,0.092032395,20D_80C,S56
JGI 0000069-P22 order,2.999455808,20D_80C,S56
Other,0.555395503,20D_80C,S56
Mycobacteriaceae,0.192334368,20D_80C,S57
Sporichthyaceae,0.4897724,20D_80C,S57
Caulobacteraceae,0.117107889,20D_80C,S57
Rhodobacteraceae,5.197296115,20D_80C,S57
SAR11_Clade III,0.460962259,20D_80C,S57
Bacteriovoracaceae,1.19642114,20D_80C,S57
Moraxellaceae,0.028543381,20D_80C,S57
Methylophagaceae,0.619951556,20D_80C,S57
Pseudomonadaceae,0.793345924,20D_80C,S57
Nitrincolaceae,7.129176137,20D_80C,S57
Porticoccaceae,0,20D_80C,S57
Saccharospirillaceae,0.010136902,20D_80C,S57
Colwelliaceae,0.80081522,20D_80C,S57
Burkholderiaceae,8.910069678,20D_80C,S57
Arcobacteraceae,59.80665194,20D_80C,S57
Crocinitomicaceae,0.220077467,20D_80C,S57
NS11-12 marine group,0.006669014,20D_80C,S57
Flavobacteriaceae,0.296104229,20D_80C,S57
JGI 0000069-P22 order,12.56682352,20D_80C,S57
Other,1.15774086,20D_80C,S57
Mycobacteriaceae,0.102169297,20D_80C,S58
Sporichthyaceae,0.168059157,20D_80C,S58
Caulobacteraceae,1.31886424,20D_80C,S58
Rhodobacteraceae,6.525763736,20D_80C,S58
SAR11_Clade III,0.152587044,20D_80C,S58
Bacteriovoracaceae,3.501765955,20D_80C,S58
Moraxellaceae,0.653563388,20D_80C,S58
Methylophagaceae,2.841533553,20D_80C,S58
Pseudomonadaceae,0.615416627,20D_80C,S58
Nitrincolaceae,21.58679855,20D_80C,S58
Porticoccaceae,0,20D_80C,S58
Saccharospirillaceae,0.090698593,20D_80C,S58
Colwelliaceae,0.25448958,20D_80C,S58
Burkholderiaceae,9.700214475,20D_80C,S58
Arcobacteraceae,41.68987484,20D_80C,S58
Crocinitomicaceae,0.271295496,20D_80C,S58
NS11-12 marine group,0.090698593,20D_80C,S58
Flavobacteriaceae,2.025779741,20D_80C,S58
JGI 0000069-P22 order,6.780786837,20D_80C,S58
Other,1.6296403,20D_80C,S58
Mycobacteriaceae,0.086163663,20D_80C,S59
Sporichthyaceae,0.033345071,20D_80C,S59
