Class,Relative,Sample,Microcosms
Deltaproteobacteria,1.465315791,S60,20D_80C
Gammaproteobacteria,15.91466863,S60,20D_80C
Campylobacteria,69.15954416,S60,20D_80C
Bacteroidia,2.444060309,S60,20D_80C
Verrucomicrobiae,0.072825635,S60,20D_80C
Parcubacteria,0.058687325,S60,20D_80C
Gracilibacteria,6.487883735,S60,20D_80C
Other,0.100035212,S60,20D_80C
Acidimicrobiia,0.017872958,S61,100C
Actinobacteria,0.189666763,S61,100C
Thermoleophilia,0.025875775,S61,100C
Alphaproteobacteria,7.10703501,S61,100C
Deltaproteobacteria,0.291302538,S61,100C
Gammaproteobacteria,12.10532774,S61,100C
Campylobacteria,65.78689032,S61,100C
Bacteroidia,6.082941195,S61,100C
Verrucomicrobiae,0.026676057,S61,100C
Parcubacteria,0.015205352,S61,100C
Gracilibacteria,8.339735587,S61,100C
Other,0.011470704,S61,100C
Acidimicrobiia,0.165391551,S62,100C
Actinobacteria,0.92325832,S62,100C
Thermoleophilia,0.129378875,S62,100C
Alphaproteobacteria,13.18384071,S62,100C
Deltaproteobacteria,3.795469339,S62,100C
Gammaproteobacteria,26.03263015,S62,100C
Campylobacteria,40.66791511,S62,100C
Bacteroidia,2.3453589,S62,100C
Verrucomicrobiae,0.172860847,S62,100C
Parcubacteria,0.189133242,S62,100C
Gracilibacteria,12.23363957,S62,100C
Other,0.161123382,S62,100C
Acidimicrobiia,0.045349296,S63,100C
Actinobacteria,0.321179722,S63,100C
Thermoleophilia,0.034945634,S63,100C
Alphaproteobacteria,4.459703149,S63,100C
Deltaproteobacteria,2.330953829,S63,100C
Gammaproteobacteria,24.68228817,S63,100C
Campylobacteria,58.53340376,S63,100C
Bacteroidia,1.255108465,S63,100C
Verrucomicrobiae,0.061888451,S63,100C
Parcubacteria,0.053618874,S63,100C
Gracilibacteria,8.126327134,S63,100C
Other,0.095233522,S63,100C
Acidimicrobiia,0.054952677,S64,100C
Actinobacteria,0.48497071,S64,100C
Thermoleophilia,0.053618874,S64,100C
Alphaproteobacteria,6.332095564,S64,100C
Deltaproteobacteria,2.441659464,S64,100C
Gammaproteobacteria,23.50107238,S64,100C
Campylobacteria,42.60032865,S64,100C
Bacteroidia,1.798232978,S64,100C
Verrucomicrobiae,0.126711269,S64,100C
Parcubacteria,0.1413831,S64,100C
Gracilibacteria,22.31452138,S64,100C
Other,0.150452959,S64,100C
Acidimicrobiia,0.017339437,S65,100C
Actinobacteria,0.230481129,S65,100C
Thermoleophilia,0.021340845,S65,100C
Alphaproteobacteria,3.529509054,S65,100C
Deltaproteobacteria,0.74426198,S65,100C
Gammaproteobacteria,16.10380187,S65,100C
Campylobacteria,74.34296872,S65,100C
Bacteroidia,1.400226213,S65,100C
Verrucomicrobiae,0.031210986,S65,100C
Parcubacteria,0.012004225,S65,100C
Gracilibacteria,3.544981167,S65,100C
Other,0.021874366,S65,100C
